title,type,genres,imdb_score,tmdb_popularity
Inception,MOVIE,"['action', 'scifi', 'music', 'thriller']",8.8,108.284
The Spectacular Spider-Man,SHOW,"['action', 'animation', 'family', 'scifi', 'comedy']",8.3,41.509
The Departed,MOVIE,"['drama', 'thriller', 'crime', 'action']",8.5,33.795
Zoey 101,SHOW,"['drama', 'comedy', 'family', 'romance']",6.1,53.044
Insidious,MOVIE,"['horror', 'thriller']",6.8,99.129
War of the Worlds,MOVIE,"['action', 'thriller', 'scifi']",6.5,36.989
DEATH NOTE,SHOW,"['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']",9.0,120.545
The Vampire Diaries,SHOW,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']",7.7,479.354
Naruto,SHOW,"['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']",8.4,218.843
Wanted,MOVIE,"['action', 'thriller', 'crime', 'fantasy']",6.7,33.101
Casino Royale,MOVIE,"['action', 'thriller', 'european']",8.0,40.164
My Little Pony: Friendship Is Magic,SHOW,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']",7.6,52.369
Blade Runner: The Final Cut,MOVIE,"['action', 'thriller', 'scifi']",,0.055091
Chappelle's Show,SHOW,"['comedy', 'music']",8.8,14.116
The Terminal,MOVIE,"['drama', 'comedy', 'romance']",7.4,21.384
Michael Clayton,MOVIE,"['thriller', 'drama', 'crime']",7.2,16.97
Road to Perdition,MOVIE,"['thriller', 'documentation', 'drama', 'crime']",7.7,18.739
Victorious,SHOW,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']",6.9,71.494
Big Fish,MOVIE,"['action', 'fantasy', 'drama', 'romance']",8.0,21.158
The Hurt Locker,MOVIE,"['thriller', 'drama', 'war']",7.5,28.341
Troy,MOVIE,"['action', 'history', 'war', 'drama', 'european']",7.3,48.407
Sherlock Holmes,MOVIE,"['crime', 'thriller', 'action']",7.6,43.297
Trailer Park Boys,SHOW,"['comedy', 'crime']",8.6,22.603
Love Actually,MOVIE,"['drama', 'comedy', 'romance']",7.6,36.484
America's Next Top Model,SHOW,['reality'],5.6,14.501
Get Smart,MOVIE,"['comedy', 'thriller', 'action']",6.5,22.421
Quantum of Solace,MOVIE,"['thriller', 'action']",6.6,31.298
The Blind Side,MOVIE,"['drama', 'sport']",7.6,63.663
Apocalypse Now Redux,MOVIE,"['drama', 'war', 'horror', 'thriller']",,4.147341
Identity,MOVIE,['thriller'],7.3,19.558
I Am Legend,MOVIE,"['scifi', 'thriller', 'action', 'drama']",7.2,69.139
The Fairly OddParents,SHOW,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",7.2,67.192
Grown Ups,MOVIE,"['comedy', 'drama', 'european']",5.9,98.37
The Girl Next Door,MOVIE,"['comedy', 'romance', 'drama']",6.7,37.315
Ned's Declassified School Survival Guide,SHOW,"['family', 'comedy']",7.4,33.115
The Fighter,MOVIE,['drama'],,17.007
Public Enemies,MOVIE,"['action', 'crime', 'drama', 'history', 'european']",7.0,85.039
Not Another Teen Movie,MOVIE,['comedy'],5.7,36.438
Blow,MOVIE,"['crime', 'drama']",7.5,24.348
Hancock,MOVIE,"['fantasy', 'action', 'crime', 'drama']",6.4,121.985
iCarly,SHOW,"['comedy', 'family', 'romance']",6.7,100.996
The Pursuit of Happyness,MOVIE,"['drama', 'european']",8.0,47.893
Monster,MOVIE,"['crime', 'drama', 'thriller', 'european']",7.3,16.309
Rambo,MOVIE,"['action', 'thriller', 'war', 'european']",7.0,72.224
Something's Gotta Give,MOVIE,"['drama', 'comedy', 'romance']",6.7,14.619
Harold & Kumar Go to White Castle,MOVIE,['comedy'],7.0,15.026
Thir13en Ghosts,MOVIE,"['horror', 'thriller', 'fantasy']",5.6,50.592
Merlin,SHOW,"['action', 'drama', 'scifi', 'fantasy', 'european']",7.9,74.931
Transformers: Prime,SHOW,"['action', 'animation', 'comedy', 'drama', 'family', 'scifi']",7.9,28.925
Cloudy with a Chance of Meatballs,MOVIE,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",6.9,58.945
The Mole,SHOW,['reality'],7.6,2.189
Offspring,SHOW,"['drama', 'comedy']",8.3,10.243
Halloween,MOVIE,['horror'],6.0,38.491
Code Geass: Lelouch of the Rebellion,SHOW,"['scifi', 'action', 'animation', 'drama', 'war', 'thriller']",8.7,35.011
Jackass: The Movie,MOVIE,"['comedy', 'documentation', 'action']",6.6,25.23
Semi-Pro,MOVIE,"['comedy', 'sport', 'european']",5.8,12.789
The Lake House,MOVIE,"['drama', 'thriller', 'fantasy', 'romance', 'documentation']",6.8,16.31
The Girl Next Door,MOVIE,"['crime', 'drama', 'horror', 'thriller']",6.5,13.131
The Book of Eli,MOVIE,"['scifi', 'action', 'thriller', 'drama', 'european']",6.8,30.476
Blood Diamond,MOVIE,"['drama', 'thriller', 'action']",8.0,47.39
Just Like Heaven,MOVIE,"['romance', 'drama', 'comedy', 'fantasy']",6.7,17.486
Ip Man,MOVIE,"['drama', 'fantasy', 'comedy', 'history', 'action']",8.0,21.074
21,MOVIE,"['crime', 'drama', 'history', 'thriller']",6.8,27.013
Friday the 13th,MOVIE,"['horror', 'thriller']",5.5,45.551
Gurren Lagann,SHOW,"['action', 'scifi', 'animation', 'comedy', 'drama']",8.3,27.924
Let Me In,MOVIE,"['drama', 'horror', 'thriller', 'fantasy', 'european']",7.1,22.791
Dead Set,SHOW,"['scifi', 'reality', 'thriller', 'comedy', 'drama', 'horror', 'european']",7.6,9.68
